LIB-MJ091-E11_03.21_16S_rRNA::k127_191899:1116-2602(-)	FLASV864305.1310;tax=d:Bacteria,p:Chloroflexi,c:AD3,o:MFD_o_443,f:MFD_f_2416,g:MFD_g_2416,s:MFD_s_864305;	97.6	1310	31	1	1	1486	1	1310	*	*
LIB-MJ090-H10_04.12_16S_rRNA::k127_2484:6373-7853(+)	FLASV522678.1305;tax=d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Synechococcales,f:Cyanobiaceae,g:Cyanobium_PCC-6307,s:MFD_s_522678;	99.1	1305	12	0	1	1480	1	1305	*	*
LIB-MJ050-C9_02.22_16S_rRNA::k127_212768:9762-11248(-)	FLASV2712.1349;tax=d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Subgroup_2,f:MFD_f_195,g:MFD_g_2712,s:MFD_s_2712;	97.6	1336	30	2	1	1486	1	1349	*	*
LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.50_16S_rRNA::k127_303483:130302-131836(-)	FLASV159476.1359;tax=d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Subgroup_2,f:MFD_f_195,g:MFD_g_5058,s:MFD_s_159476;	100.0	1359	0	0	1	1534	1	1359	*	*
LIB-MJ106-H9_01.5_16S_rRNA::k127_220256:56493-57993(-)	FLASV565363.1323;tax=d:Bacteria,p:WPS-2,c:MFD_c_437,o:MFD_o_437,f:MFD_f_437,g:MFD_g_45263,s:MFD_s_565363;	98.2	1323	24	0	1	1500	1	1323	*	*
LIB-MJ091-H3_03.30_16S_rRNA::k127_151389:17883-19409(+)	FLASV34025.1347;tax=d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:Actinomarinales,f:MFD_f_2495,g:MFD_g_2571,s:MFD_s_34025;	100.0	1347	0	0	1	1526	1	1347	*	*
LIB-MJ091-D7_03.27_16S_rRNA::k127_460575:11-1348(+)	FLASV126908.1377;tax=d:Bacteria,p:Myxococcota,c:Polyangia,o:Polyangiales,f:Polyangiaceae,g:Pajaroellobacter,s:MFD_s_126908;	97.6	1185	28	0	1	1337	1	1377	*	*
LIB-MJ091-C5_03.2_16S_rRNA::k127_90784:614-1778(+)	FLASV1012837.1304;tax=d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Synechococcales,f:Cyanobiaceae,g:Cyanobium_PCC-6307,s:MFD_s_1012837;	97.9	1140	21	2	1	1164	1	1304	*	*
LIB-MJ091-D7_03.27_16S_rRNA::k127_118912:62-1593(+)	FLASV18199.1355;tax=d:Bacteria,p:Bacteroidota,c:Ignavibacteria,o:Ignavibacteriales,f:Ignavibacteriaceae,g:Ignavibacterium,s:MFD_s_18199;	99.6	1355	5	0	1	1531	1	1355	*	*
LIB-MJ106-F9_01_v_LIB-MJ368-F9_04.40_16S_rRNA::k127_303540:199880-200942(-)	FLASV50139.1355;tax=d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Subgroup_2,f:MFD_f_195,g:MFD_g_39782,s:MFD_s_50139;	99.8	910	2	0	1	1062	1	1355	*	*
LIB-MJ106-H9_01.9_16S_rRNA::k127_3632:1075-2592(-)	FLASV71324.1341;tax=d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:MFD_o_12,f:MFD_f_4701,g:MFD_g_4701,s:MFD_s_71324;	98.7	1341	17	0	1	1517	1	1341	*	*
LIB-MJ091-A11_03_v_LIB-MJ403-H9_03.4_16S_rRNA::k127_190531:96259-97758(+)	FLASV65070.1323;tax=d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Acidobacteriales,f:MFD_f_299,g:MFD_g_3632,s:MFD_s_65070;	99.4	1323	8	0	1	1499	1	1323	*	*
LIB-MJ089-A11_02.9_16S_rRNA::k127_78949:1714-2754(-)	FLASV55176.1357;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:MFD_g_5346,s:MFD_s_55176;	98.6	898	13	0	1	1040	1	1357	*	*
LIB-MJ089-B7_02.49_16S_rRNA::k127_319312:81066-82154(+)	FLASV648.1321;tax=d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Acidobacteriales,f:Acidobacteriaceae_Subgroup_1,g:Occallatibacter,s:MFD_s_648;	98.4	1065	17	0	1	1088	1	1321	*	*
LIB-MJ050-H3_02.24_16S_rRNA::k127_209782:31421-32939(-)	FLASV1669.1342;tax=d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Chthoniobacterales,f:Xiphinematobacteraceae,g:Ca_Xiphinematobacter,s:MFD_s_1669;	100.0	1342	0	0	1	1518	1	1342	*	*
LIB-MJ091-B7_03.34_16S_rRNA::k127_17480:0-419(-)	FLASV2675.1383;tax=d:Bacteria,p:Desulfobacterota,c:Desulfobacteria,o:Desulfobacterales,f:Desulfosarcinaceae,g:SEEP-SRB1,s:MFD_s_2675;	100.0	395	0	0	1	419	1	1383	*	*
